카파, 61, 176
마하, 42, 147
하나, 61, 146
차라, 40, 147
타파, 93, 158
바바, 79, 153
라차, 65, 190
차사, 61, 168
마마, 91, 177
아나, 70, 156
가가, 72, 187
바차, 63, 164
마가, 53, 193
아다, 61, 192
카라, 94, 176
하카, 73, 184
하타, 66, 178
파자, 58, 185
마가, 43, 156
마나, 58, 189
파마, 76, 174
타마, 95, 170
아사, 85, 162
아타, 71, 190
나마, 86, 140
파사, 49, 154
라나, 40, 172
하타, 62, 151
하사, 50, 142
마파, 87, 178
다차, 85, 159
차사, 53, 187
차나, 87, 167
아차, 74, 154
타바, 72, 184
사카, 60, 178
라타, 92, 170
파차, 97, 188
라자, 96, 150
나아, 86, 154
차카, 45, 153
차라, 55, 181
타사, 92, 159
바하, 43, 158
가카, 98, 197
마파, 84, 185
차라, 44, 188
아라, 70, 174
사차, 90, 141
사라, 89, 141
하사, 59, 186
마라, 72, 188
파자, 97, 163
타가, 89, 140
라바, 92, 173
자파, 73, 158
하차, 61, 177
카차, 48, 146
자하, 94, 192
파타, 62, 184
마바, 71, 182
하하, 92, 156
바타, 72, 158
사라, 66, 155
하사, 40, 177
나차, 47, 164
카차, 44, 182
사바, 42, 154
파나, 88, 180
마파, 62, 175
마나, 81, 171
나차, 80, 151
아파, 55, 161
자하, 69, 189
아가, 45, 168
마자, 96, 143
마카, 74, 190
파카, 74, 173
나라, 95, 153
가다, 43, 143
마자, 79, 149
가가, 59, 184
파바, 76, 158
사하, 69, 166
자하, 84, 196
나차, 61, 159
마마, 45, 179
바다, 52, 168
아마, 90, 155
차자, 58, 192
파파, 94, 162
아가, 57, 167
차나, 49, 183
파아, 57, 161
가바, 69, 151
나다, 56, 154
파카, 86, 175
마가, 74, 187
마파, 77, 150
파마, 78, 156
파나, 68, 162
라자, 52, 198
아차, 49, 146
카파, 45, 172
타가, 66, 157
사차, 83, 194
파자, 80, 177
자사, 87, 190
다차, 47, 174
사사, 68, 168
사차, 71, 189
하다, 41, 147
라라, 94, 156
아자, 78, 157
가자, 70, 167
나나, 61, 196
다타, 84, 168
파자, 66, 154
나타, 41, 170
마타, 77, 152
마하, 66, 196
차파, 59, 183
라사, 73, 144
카사, 50, 170
사카, 64, 145
가하, 64, 165
자가, 94, 155
다사, 46, 199
차파, 95, 153
바하, 81, 145
라하, 86, 197
파바, 68, 148
사라, 53, 199
카다, 85, 176
다자, 76, 165
차나, 42, 197
사타, 92, 193
하차, 90, 181
사타, 52, 144
사카, 50, 190
사타, 46, 162
사마, 85, 194
나가, 75, 146
타라, 51, 164
아카, 89, 198
타아, 57, 193
타카, 50, 162
라자, 97, 180
바바, 78, 154
하마, 58, 155
카마, 69, 190
하차, 41, 154
사다, 47, 158
다가, 61, 180
사차, 78, 186
마바, 77, 187
마카, 59, 154
다차, 81, 145
차라, 65, 152
바자, 57, 158
다바, 89, 158
자바, 90, 170
가타, 69, 153
바다, 56, 165
바사, 76, 190
바사, 68, 161
아가, 88, 153
타파, 59, 198
사자, 78, 153
마사, 95, 155
카아, 43, 153
사파, 67, 173
자하, 97, 180
마라, 77, 177
바차, 76, 160
차타, 82, 148
라나, 83, 176
사하, 94, 142
카라, 62, 141
바사, 58, 154
하자, 97, 176
다타, 71, 181
차가, 94, 177
바다, 58, 177
파타, 75, 192
가차, 88, 166
아하, 71, 186
자자, 47, 159
다타, 87, 187
차카, 93, 193
나자, 85, 180
파아, 57, 150
파카, 80, 171
나바, 80, 190
다파, 78, 149
바아, 43, 192
파바, 70, 181
아아, 44, 163
나바, 56, 181
하바, 49, 161
마나, 95, 151
파자, 43, 184
파파, 51, 148
마가, 90, 185
바바, 99, 169
가하, 65, 184
자사, 70, 177
자사, 62, 193
파자, 65, 154
다차, 75, 180
라하, 71, 163
바하, 63, 148
자다, 58, 163
나하, 64, 158
카카, 91, 196
다아, 54, 175
나아, 73, 198
다타, 72, 182
나파, 98, 153
자자, 75, 180
라나, 66, 162
나타, 66, 143
파아, 63, 197
아마, 76, 141
파사, 95, 187
파다, 52, 172
가라, 49, 196
차파, 51, 181
하카, 67, 151
가아, 79, 144
사카, 97, 198
카아, 62, 172
사다, 75, 150
바자, 60, 141
라자, 56, 193
아마, 89, 179
아자, 57, 182
마라, 90, 158
사카, 93, 183
사가, 79, 162
파하, 57, 189
차타, 96, 142
